interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,日期
59,14,143.66642123287673,143.66642123287673,243.86642123287672,123.74642123287673,0.0,VOLATILE,PV_DOMINANT,2025-12-16
60,14,143.66642123287673,143.66642123287673,243.86642123287672,123.74642123287673,0.0,VOLATILE,PV_DOMINANT,2025-12-16
61,15,218.2028280821918,218.2028280821918,354.1923280821918,162.14782808219178,0.0,VOLATILE,PV_DOMINANT,2025-12-16
62,15,218.2028280821918,218.2028280821918,354.1923280821918,162.14782808219178,0.0,VOLATILE,PV_DOMINANT,2025-12-16
63,15,218.2028280821918,218.2028280821918,354.1923280821918,162.14782808219178,0.0,VOLATILE,PV_DOMINANT,2025-12-16
64,15,218.2028280821918,218.2028280821918,354.1923280821918,162.14782808219178,0.0,VOLATILE,PV_DOMINANT,2025-12-16
65,16,331.83311575342464,342.7231157534246,498.05311575342466,262.83311575342464,10.89,VOLATILE,PV_DOMINANT,2025-12-16
66,16,331.83311575342464,342.7231157534246,498.05311575342466,262.83311575342464,10.89,VOLATILE,PV_DOMINANT,2025-12-16
67,16,331.83311575342464,342.7231157534246,498.05311575342466,262.83311575342464,10.89,VOLATILE,PV_DOMINANT,2025-12-16
68,16,331.83311575342464,342.7231157534246,498.05311575342466,262.83311575342464,10.89,VOLATILE,PV_DOMINANT,2025-12-16
69,17,424.13182123287675,420.77182123287673,510.0218212328768,347.17182123287677,-3.3599999999999994,VOLATILE,PV_DOMINANT,2025-12-16
70,17,424.13182123287675,420.77182123287673,510.0218212328768,347.17182123287677,-3.3599999999999994,VOLATILE,PV_DOMINANT,2025-12-16
71,17,424.13182123287675,420.77182123287673,510.0218212328768,347.17182123287677,-3.3599999999999994,VOLATILE,PV_DOMINANT,2025-12-16
72,17,424.13182123287675,420.77182123287673,510.0218212328768,347.17182123287677,-3.3599999999999994,VOLATILE,PV_DOMINANT,2025-12-16
73,18,452.74909452054794,455.3290945205479,518.429094520548,384.1790945205479,2.579999999999984,STABLE,PV_DOMINANT,2025-12-16
74,18,452.74909452054794,455.3290945205479,518.429094520548,384.1790945205479,2.579999999999984,STABLE,PV_DOMINANT,2025-12-16
75,18,452.74909452054794,455.3290945205479,518.429094520548,384.1790945205479,2.579999999999984,STABLE,PV_DOMINANT,2025-12-16
76,18,452.74909452054794,455.3290945205479,518.429094520548,384.1790945205479,2.579999999999984,STABLE,PV_DOMINANT,2025-12-16
77,19,446.9464767123288,450.2034767123287,514.6414767123288,379.1964767123287,3.256999999999948,STABLE,PV_DOMINANT,2025-12-16
78,19,446.9464767123288,450.2034767123287,514.6414767123288,379.1964767123287,3.256999999999948,STABLE,PV_DOMINANT,2025-12-16
79,19,446.9464767123288,450.2034767123287,514.6414767123288,379.1964767123287,3.256999999999948,STABLE,PV_DOMINANT,2025-12-16
80,19,446.9464767123288,450.2034767123287,514.6414767123288,379.1964767123287,3.256999999999948,STABLE,PV_DOMINANT,2025-12-16
81,20,438.6563616438357,447.0863616438357,513.3663616438357,365.91636164383567,8.430000000000007,STABLE,PV_DOMINANT,2025-12-16
82,20,438.6563616438357,447.0863616438357,513.3663616438357,365.91636164383567,8.430000000000007,STABLE,PV_DOMINANT,2025-12-16
83,20,438.6563616438357,447.0863616438357,513.3663616438357,365.91636164383567,8.430000000000007,STABLE,PV_DOMINANT,2025-12-16
84,20,438.6563616438357,447.0863616438357,513.3663616438357,365.91636164383567,8.430000000000007,STABLE,PV_DOMINANT,2025-12-16
85,21,427.02028698630136,438.01028698630137,505.76028698630137,355.64028698630136,10.990000000000009,STABLE,PV_DOMINANT,2025-12-16
86,21,427.02028698630136,438.01028698630137,505.76028698630137,355.64028698630136,10.990000000000009,STABLE,PV_DOMINANT,2025-12-16
87,21,427.02028698630136,438.01028698630137,505.76028698630137,355.64028698630136,10.990000000000009,STABLE,PV_DOMINANT,2025-12-16
88,21,427.02028698630136,438.01028698630137,505.76028698630137,355.64028698630136,10.990000000000009,STABLE,PV_DOMINANT,2025-12-16
89,22,402.9225390410959,406.4325390410959,476.18253904109594,314.5625390410959,3.509999999999991,STABLE,PV_DOMINANT,2025-12-16
90,22,402.9225390410959,406.4325390410959,476.18253904109594,314.5625390410959,3.509999999999991,STABLE,PV_DOMINANT,2025-12-16
91,22,402.9225390410959,406.4325390410959,476.18253904109594,314.5625390410959,3.509999999999991,STABLE,PV_DOMINANT,2025-12-16
92,22,402.9225390410959,406.4325390410959,476.18253904109594,314.5625390410959,3.509999999999991,STABLE,PV_DOMINANT,2025-12-16
93,23,382.6711353424658,382.7281353424658,461.8111353424658,300.60913534246583,0.05700000000001637,STABLE,PV_DOMINANT,2025-12-16
94,23,382.6711353424658,382.7281353424658,461.8111353424658,300.60913534246583,0.05700000000001637,STABLE,PV_DOMINANT,2025-12-16
95,23,382.6711353424658,382.7281353424658,461.8111353424658,300.60913534246583,0.05700000000001637,STABLE,PV_DOMINANT,2025-12-16
96,23,382.6711353424658,382.7281353424658,461.8111353424658,300.60913534246583,0.05700000000001637,STABLE,PV_DOMINANT,2025-12-16
