interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,日期
16,3,316.5808684931507,316.0558684931507,331.39186849315075,295.5768684931507,-0.5250000000000057,STABLE,PV_VOLATILE,MID,24250.990000000005,2025-12-16
17,4,314.53189315068494,314.6718931506849,338.19189315068496,295.9848931506849,0.13999999999998636,STABLE,PV_VOLATILE,MID,24293.17,2025-12-16
18,4,314.53189315068494,314.6718931506849,338.19189315068496,295.9848931506849,0.13999999999998636,STABLE,PV_VOLATILE,MID,24298.64,2025-12-16
19,4,314.53189315068494,314.6718931506849,338.19189315068496,295.9848931506849,0.13999999999998636,STABLE,PV_VOLATILE,MID,24505.160000000003,2025-12-16
20,4,314.53189315068494,314.6718931506849,338.19189315068496,295.9848931506849,0.13999999999998636,STABLE,PV_VOLATILE,MID,24779.230000000003,2025-12-16
21,5,323.5875828767123,324.1575828767123,353.5705828767123,308.7775828767123,0.5699999999999932,STABLE,PV_VOLATILE,MID,25194.160000000003,2025-12-16
22,5,323.5875828767123,324.1575828767123,353.5705828767123,308.7775828767123,0.5699999999999932,STABLE,PV_VOLATILE,MID,25413.28,2025-12-16
23,5,323.5875828767123,324.1575828767123,353.5705828767123,308.7775828767123,0.5699999999999932,STABLE,PV_VOLATILE,MID,24790.6,2025-12-16
24,5,323.5875828767123,324.1575828767123,353.5705828767123,308.7775828767123,0.5699999999999932,STABLE,PV_VOLATILE,MID,24290.920000000006,2025-12-16
25,6,320.21209315068495,320.562093150685,350.37709315068497,265.1990931506849,0.3499999999999943,STABLE,PV_VOLATILE,MID,23949.33999999999,2025-12-16
26,6,320.21209315068495,320.562093150685,350.37709315068497,265.1990931506849,0.3499999999999943,STABLE,PV_VOLATILE,MID,24002.78,2025-12-16
27,6,320.21209315068495,320.562093150685,350.37709315068497,265.1990931506849,0.3499999999999943,STABLE,PV_VOLATILE,MID,25021.479999999996,2025-12-16
28,6,320.21209315068495,320.562093150685,350.37709315068497,265.1990931506849,0.3499999999999943,STABLE,PV_VOLATILE,MID,26108.929999999993,2025-12-16
29,7,284.687751369863,276.577751369863,345.967751369863,224.737751369863,-8.109999999999985,VOLATILE,PV_VOLATILE,HIGH,27374.610000000015,2025-12-16
30,7,284.687751369863,276.577751369863,345.967751369863,224.737751369863,-8.109999999999985,VOLATILE,PV_VOLATILE,HIGH,28588.789999999994,2025-12-16
31,7,284.687751369863,276.577751369863,345.967751369863,224.737751369863,-8.109999999999985,VOLATILE,PV_VOLATILE,HIGH,29727.42,2025-12-16
32,7,284.687751369863,276.577751369863,345.967751369863,224.737751369863,-8.109999999999985,VOLATILE,PV_VOLATILE,HIGH,31552.64,2025-12-16
33,8,209.01046712328767,179.91546712328767,374.88546712328764,15.330467123287661,-29.095000000000006,VOLATILE,PV_VOLATILE,HIGH,32045.12000000001,2025-12-16
34,8,209.01046712328767,179.91546712328767,374.88546712328764,15.330467123287661,-29.095000000000006,VOLATILE,PV_VOLATILE,HIGH,32019.369999999995,2025-12-16
35,8,209.01046712328767,179.91546712328767,374.88546712328764,15.330467123287661,-29.095000000000006,VOLATILE,PV_VOLATILE,HIGH,31474.25,2025-12-16
36,8,209.01046712328767,179.91546712328767,374.88546712328764,15.330467123287661,-29.095000000000006,VOLATILE,PV_VOLATILE,HIGH,29845.050000000003,2025-12-16
37,9,133.89744589041098,106.49244589041098,334.65244589041095,-15.592554109589003,-27.405,VOLATILE,PV_VOLATILE,HIGH,28866.690000000002,2025-12-16
38,9,133.89744589041098,106.49244589041098,334.65244589041095,-15.592554109589003,-27.405,VOLATILE,PV_VOLATILE,HIGH,27104.979999999996,2025-12-16
39,9,133.89744589041098,106.49244589041098,334.65244589041095,-15.592554109589003,-27.405,VOLATILE,PV_VOLATILE,HIGH,25029.949999999997,2025-12-16
40,9,133.89744589041098,106.49244589041098,334.65244589041095,-15.592554109589003,-27.405,VOLATILE,PV_VOLATILE,HIGH,22796.93,2025-12-16
41,10,110.37939520547944,99.06939520547945,296.8593952054794,46.37939520547944,-11.309999999999995,VOLATILE,PV_VOLATILE,HIGH,21684.200000000004,2025-12-16
42,10,110.37939520547944,99.06939520547945,296.8593952054794,46.37939520547944,-11.309999999999995,VOLATILE,PV_VOLATILE,HIGH,20841.80999999999,2025-12-16
43,10,110.37939520547944,99.06939520547945,296.8593952054794,46.37939520547944,-11.309999999999995,VOLATILE,PV_VOLATILE,HIGH,19731.509999999995,2025-12-16
44,10,110.37939520547944,99.06939520547945,296.8593952054794,46.37939520547944,-11.309999999999995,VOLATILE,PV_VOLATILE,HIGH,18936.58000000001,2025-12-16
