interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,日期
41,10,108.49564931506849,97.1856493150685,305.32464931506854,51.3546493150685,-11.309999999999995,VOLATILE,PV_VOLATILE,HIGH,20841.80999999999,2025-12-16
42,10,108.49564931506849,97.1856493150685,305.32464931506854,51.3546493150685,-11.309999999999995,VOLATILE,PV_VOLATILE,HIGH,19731.509999999995,2025-12-16
43,10,108.49564931506849,97.1856493150685,305.32464931506854,51.3546493150685,-11.309999999999995,VOLATILE,PV_VOLATILE,HIGH,18936.58000000001,2025-12-16
44,10,108.49564931506849,97.1856493150685,305.32464931506854,51.3546493150685,-11.309999999999995,VOLATILE,PV_VOLATILE,HIGH,18175.389999999992,2025-12-16
45,11,105.68480821917808,95.00480821917807,301.91080821917814,15.179808219178085,-10.680000000000003,VOLATILE,PV_VOLATILE,HIGH,18629.27999999999,2025-12-16
46,11,105.68480821917808,95.00480821917807,301.91080821917814,15.179808219178085,-10.680000000000003,VOLATILE,PV_VOLATILE,HIGH,16940.48000000001,2025-12-16
47,11,105.68480821917808,95.00480821917807,301.91080821917814,15.179808219178085,-10.680000000000003,VOLATILE,PV_VOLATILE,HIGH,15518.319999999992,2025-12-16
48,11,105.68480821917808,95.00480821917807,301.91080821917814,15.179808219178085,-10.680000000000003,VOLATILE,PV_VOLATILE,HIGH,13760.919999999991,2025-12-16
49,12,87.11522739726027,86.86522739726027,318.1182273972603,-7.791772602739712,-0.25,VOLATILE,PV_VOLATILE,HIGH,13289.229999999996,2025-12-16
50,12,87.11522739726027,86.86522739726027,318.1182273972603,-7.791772602739712,-0.25,VOLATILE,PV_VOLATILE,HIGH,12805.86,2025-12-16
51,12,87.11522739726027,86.86522739726027,318.1182273972603,-7.791772602739712,-0.25,VOLATILE,PV_VOLATILE,HIGH,13571.620000000003,2025-12-16
52,12,87.11522739726027,86.86522739726027,318.1182273972603,-7.791772602739712,-0.25,VOLATILE,PV_VOLATILE,HIGH,14648.86,2025-12-16
53,13,108.8832602739726,119.40326027397259,338.2222602739726,55.3422602739726,10.519999999999996,VOLATILE,PV_VOLATILE,HIGH,15674.68,2025-12-16
54,13,108.8832602739726,119.40326027397259,338.2222602739726,55.3422602739726,10.519999999999996,VOLATILE,PV_VOLATILE,HIGH,16852.050000000003,2025-12-16
55,13,108.8832602739726,119.40326027397259,338.2222602739726,55.3422602739726,10.519999999999996,VOLATILE,PV_VOLATILE,HIGH,17953.159999999996,2025-12-16
56,13,108.8832602739726,119.40326027397259,338.2222602739726,55.3422602739726,10.519999999999996,VOLATILE,PV_VOLATILE,HIGH,19041.390000000007,2025-12-16
57,14,155.26080821917807,184.2408082191781,335.51280821917805,50.89880821917808,28.98000000000001,VOLATILE,PV_VOLATILE,HIGH,20609.880000000005,2025-12-16
58,14,155.26080821917807,184.2408082191781,335.51280821917805,50.89880821917808,28.98000000000001,VOLATILE,PV_VOLATILE,HIGH,21920.91999999999,2025-12-16
59,14,155.26080821917807,184.2408082191781,335.51280821917805,50.89880821917808,28.98000000000001,VOLATILE,PV_VOLATILE,HIGH,23014.709999999992,2025-12-16
60,14,155.26080821917807,184.2408082191781,335.51280821917805,50.89880821917808,28.98000000000001,VOLATILE,PV_VOLATILE,HIGH,24310.14,2025-12-16
61,15,239.18350136986302,274.613501369863,351.20250136986306,195.64450136986304,35.42999999999999,VOLATILE,PV_VOLATILE,HIGH,25858.77999999999,2025-12-16
62,15,239.18350136986302,274.613501369863,351.20250136986306,195.64450136986304,35.42999999999999,VOLATILE,PV_VOLATILE,HIGH,26907.009999999995,2025-12-16
63,15,239.18350136986302,274.613501369863,351.20250136986306,195.64450136986304,35.42999999999999,VOLATILE,PV_VOLATILE,HIGH,27779.850000000006,2025-12-16
64,15,239.18350136986302,274.613501369863,351.20250136986306,195.64450136986304,35.42999999999999,VOLATILE,PV_VOLATILE,HIGH,27935.850000000006,2025-12-16
65,16,362.7163205479452,380.00632054794517,411.7363205479452,352.25832054794523,17.289999999999992,STABLE,PV_VOLATILE,HIGH,28504.680000000008,2025-12-16
66,16,362.7163205479452,380.00632054794517,411.7363205479452,352.25832054794523,17.289999999999992,STABLE,PV_VOLATILE,HIGH,29450.39,2025-12-16
67,16,362.7163205479452,380.00632054794517,411.7363205479452,352.25832054794523,17.289999999999992,STABLE,PV_VOLATILE,HIGH,29952.559999999983,2025-12-16
68,16,362.7163205479452,380.00632054794517,411.7363205479452,352.25832054794523,17.289999999999992,STABLE,PV_VOLATILE,HIGH,30312.119999999995,2025-12-16
69,17,444.60365479452054,442.00365479452057,498.42365479452053,405.15365479452055,-2.5999999999999943,STABLE,PV_VOLATILE,MID,29904.12000000001,2025-12-16
70,17,444.60365479452054,442.00365479452057,498.42365479452053,405.15365479452055,-2.5999999999999943,STABLE,PV_VOLATILE,MID,29858.199999999997,2025-12-16
71,17,444.60365479452054,442.00365479452057,498.42365479452053,405.15365479452055,-2.5999999999999943,STABLE,PV_VOLATILE,MID,29072.569999999992,2025-12-16
72,17,444.60365479452054,442.00365479452057,498.42365479452053,405.15365479452055,-2.5999999999999943,STABLE,PV_VOLATILE,MID,27857.160000000003,2025-12-16
73,18,455.46424109589043,465.3442410958904,517.5052410958905,405.54724109589046,9.879999999999995,STABLE,PV_VOLATILE,LOW,26741.119999999995,2025-12-16
74,18,455.46424109589043,465.3442410958904,517.5052410958905,405.54724109589046,9.879999999999995,STABLE,PV_VOLATILE,LOW,25982.270000000004,2025-12-16
75,18,455.46424109589043,465.3442410958904,517.5052410958905,405.54724109589046,9.879999999999995,STABLE,PV_VOLATILE,LOW,25385.199999999997,2025-12-16
76,18,455.46424109589043,465.3442410958904,517.5052410958905,405.54724109589046,9.879999999999995,STABLE,PV_VOLATILE,LOW,24998.08,2025-12-16
77,19,444.1072219178082,445.1322219178082,484.6712219178082,423.3212219178082,1.0249999999999773,STABLE,PV_VOLATILE,LOW,24532.11,2025-12-16
78,19,444.1072219178082,445.1322219178082,484.6712219178082,423.3212219178082,1.0249999999999773,STABLE,PV_VOLATILE,LOW,24335.059999999998,2025-12-16
79,19,444.1072219178082,445.1322219178082,484.6712219178082,423.3212219178082,1.0249999999999773,STABLE,PV_VOLATILE,LOW,23925.850000000006,2025-12-16
80,19,444.1072219178082,445.1322219178082,484.6712219178082,423.3212219178082,1.0249999999999773,STABLE,PV_VOLATILE,LOW,23472.25,2025-12-16
81,20,436.83940821917804,444.744408219178,493.65940821917803,356.53340821917806,7.904999999999973,STABLE,PV_VOLATILE,LOW,23256.53,2025-12-16
82,20,436.83940821917804,444.744408219178,493.65940821917803,356.53340821917806,7.904999999999973,STABLE,PV_VOLATILE,LOW,23387.149999999994,2025-12-16
83,20,436.83940821917804,444.744408219178,493.65940821917803,356.53340821917806,7.904999999999973,STABLE,PV_VOLATILE,LOW,23593.089999999997,2025-12-16
84,20,436.83940821917804,444.744408219178,493.65940821917803,356.53340821917806,7.904999999999973,STABLE,PV_VOLATILE,LOW,23617.53,2025-12-16
85,21,423.74724657534244,439.23724657534245,486.8762465753424,343.0992465753424,15.490000000000009,STABLE,PV_VOLATILE,LOW,24367.809999999998,2025-12-16
86,21,423.74724657534244,439.23724657534245,486.8762465753424,343.0992465753424,15.490000000000009,STABLE,PV_VOLATILE,LOW,23970.83,2025-12-16
87,21,423.74724657534244,439.23724657534245,486.8762465753424,343.0992465753424,15.490000000000009,STABLE,PV_VOLATILE,LOW,23429.23999999999,2025-12-16
88,21,423.74724657534244,439.23724657534245,486.8762465753424,343.0992465753424,15.490000000000009,STABLE,PV_VOLATILE,LOW,22589.140000000007,2025-12-16
89,22,395.9809698630137,407.78596986301363,454.2279698630137,294.74096986301373,11.804999999999978,STABLE,PV_VOLATILE,LOW,21648.989999999998,2025-12-16
90,22,395.9809698630137,407.78596986301363,454.2279698630137,294.74096986301373,11.804999999999978,STABLE,PV_VOLATILE,LOW,21680.910000000003,2025-12-16
91,22,395.9809698630137,407.78596986301363,454.2279698630137,294.74096986301373,11.804999999999978,STABLE,PV_VOLATILE,LOW,21545.399999999994,2025-12-16
92,22,395.9809698630137,407.78596986301363,454.2279698630137,294.74096986301373,11.804999999999978,STABLE,PV_VOLATILE,LOW,21817.270000000004,2025-12-16
93,23,379.3436767123288,370.6736767123288,464.57367671232873,280.73367671232876,-8.669999999999959,VOLATILE,PV_VOLATILE,LOW,22627.97,2025-12-16
94,23,379.3436767123288,370.6736767123288,464.57367671232873,280.73367671232876,-8.669999999999959,VOLATILE,PV_VOLATILE,LOW,21910.929999999993,2025-12-16
95,23,379.3436767123288,370.6736767123288,464.57367671232873,280.73367671232876,-8.669999999999959,VOLATILE,PV_VOLATILE,LOW,21184.53,2025-12-16
96,23,379.3436767123288,370.6736767123288,464.57367671232873,280.73367671232876,-8.669999999999959,VOLATILE,PV_VOLATILE,LOW,20667.290000000008,2025-12-16
